ablowing|Swelling; distension, inflation.
ad|A pyre, spec. a funeral pyre. Also: fire as a means of burning bodies.
again-chare|= again-charing, n.
akennedness|Birth; generation. Esp. with reference to Christ's incarnation.
akenning|Birth.
aldership|Lordship, chief authority. Cf. ealdordom, n. 1a.
alesedness|Deliverance, redemption, salvation. Cf. alesendness, n.
alesendness|= alesedness, n.
alesing|Release; redemption.
alighting|Light, brilliance.
alms-deal|= alms dealing, n.
althedy|Of or belonging to another country or nation; foreign, alien.
amansing|Excommunication; curse, damnation.
anchor settle|An anchorite's seat or cell; (also) the occupant of such a seat or cell, an anchorite.
andsete|Hateful, odious.
angin|The fact of beginning; the time at which something begins; the origin of a thing.
anlike|Like, similar; alike.
anredness|Constancy, steadfastness, resoluteness.
anyit|Understanding, intelligence; perception.
aquerne|A squirrel.
arist|Rising, rise from a seat or from bed; sunrise.
arm|Miserable, wretched.
arrish-hen|A quail; = eddish-hen, n.
arvethness|Difficulty, trouble.
aswolkeness|Sloth, laziness.
athel|Of persons: Noble by birth or character, eminent, illustrious, renowned.
attercop|A spider.
aught|Estimation, value; opinion; reputation. Also: deliberation, council.
awel|Any of various types of hook or hooked instrument; esp. one used as an instrument of torture.
axle|The shoulder.
bache|The vale of a stream or rivulet.
barm|A bosom, a lap.
barse|Name of a species of fish: the original form of the word subsequently corrupted to base, n.², and bass, n.¹
behote|A promise.
bemer|A trumpeter.
beod|A table.
bequeath|Byword, proverb. (Only in Old English).
bere corn|Barley; a grain of barley.
bere-seed|The seed of barley; the sowing of barley; the season for sowing barley.
berne|A warrior, a hero, a man of valour; in later use, simply one of the many poetic words for ‘man’.
berwe|A grove, a shady place.
bewist|Food, provision, victual, a living.
bide|A dwelling, dwelling-place, habitation.
birde|The fact of being born; = birth, n.¹ 1a. Also: the action or process of bearing offspring; = birth, n.¹ 4a.
birle|One who pours out drink; a cupbearer, butler.
bit|A leather bottle, flask, or other receptacle for liquids.
blatch|Black ink, dye, or pigment; blacking.
blede|A flower, blossom; fruit.
bloodlease|= bloodletting, n. 1.
boatward|A boat-keeper; (perhaps also more generally) a boatman.
bookfell|A skin prepared for writing upon, a sheet of vellum or parchment; a parchment or vellum manuscript.
bordman|A bordar, or tenant in bordage, a cottier.
bothen|Any of various plants often found growing among corn, esp. ox-eye daisy, Leucanthemum vulgare (more fully white bothen), cornflower, Centaurea cyanus…
breastline|A linen covering for the breast; spec. the pectoral worn by the Jewish high priest (see breastplate, n. 2).
brede|Roast meat. Obsolete (but cf. sweetbread, n.¹)
bree|The lid of the eye, the eyelid. (In Layamon the breow of the first text is displaced by brouw, brow, n.¹ in the second text.) Obsolete.
brerd|The topmost surface or edge: rim, brim, brink.
bridelope|A wedding; marriage.
bridgeward|The keeper or warden of a bridge.
britannic|More fully britannic herb. An unidentified plant, variously interpreted as a kind of dock or bistort (genera Rumex and Polygonum), cowslip or…
broad sea|(With the) the open sea.
brotherred|= brotherhood, n. (in various senses).
bruche|The action of breaking a material thing; fracture, breakage.
brust|A bristle.
brydthing|Wedding, marriage, nuptials.
bune|The action of purchasing; payment.
buriels|A burying-place; a sepulchre, tomb.
burne|= brinie, n.
busy|Activity, occupation, business; the state of being actively employed; an instance of this. Also in there was busy, busy was had: there was bustle or…
by-girdle|That which begirds; a girdle or belt; also, from the use of this, a purse, money-bag.
bysen|An example, a pattern.
camp|Martial contest, combat, fight, battle, war.
candle-staff|A candlestick; the main stem or shaft of a branched candlestick.
capitle|A short division of a book, a chapter.
carman|A man, an adult male.
caul|A cabbage. Also in combination caul-stock, a cabbage-stalk, castock, n.
cawl|A basket; in modern Cornish dialect, a fish-basket or creel.
cheald|= cold, n. (in early Kentish dialect).
cheap-house|Apparently: a place in which goods are stored; a storehouse.
chelde|Cold.
chest|Strife, contention, quarrelling.
chester|A city or walled town; originally one that had been a Roman station in Britain.
chithe|A tiny shoot, sprout, or blade of grass or any plant; a glume or awn of chaff, a mote.
christenman|A Christian man, a Christian.
church gang|Attendance at church; churchgoing. Also: spec. the churching (churching, n. 1) of a woman after childbirth; = purification, n. 1a.
clake|Hurt, injury, scathe.
clee|= claw, n. 1.
cleve|A room, chamber, sleeping-place, closet.
cloffing|A plant: see quots.
cock|An edible bivalve mollusc found on the coasts of Britain, probably a cockle (family Cardiidae).
consound|A herb to which healing virtues were attributed; the plant so called by the Romans is generally supposed to have been the comfrey (Symphytum…
copener|A paramour.
corsned|In Old English law, the morsel of trial, a piece of bread of about an ounce weight consecrated by exorcism (panis conjuratus) which an accused person…
cost|The means by which or manner in which an action or act is carried out; means or manner of proceeding; an available course of action. Also (in quot…
cotland|The piece of arable land (of about 5 acres) held along with his cot by the Old English cotset or cottar.
cotman|The tenant of a cot or cottage; a cottager, ‘cotset’, or ‘coterell’; in Scottish a cottar. Also attributive, as in cotman land, agricultural land…
cow-milk|The milk of the cow; now cow's milk, cows' milk.
croh|A pitcher, a water-pot.
crouke|A pitcher, a jug.
crucet-hus|House of torment; see quot.
cure|Choice.
custiness|Generosity, munificence. Cf. cust, n.¹ 3b.
daughter son|The son of a person's daughter; a daughter's son.
deedbote|Amends-deed, penance, repentance.
deme|A judge, arbiter, ruler.
dern|Of actions, etc.: Done or proceeding in secret or in the dark; kept concealed; hence, dark, of evil or deceitful nature. Obsolete.
doom-house|A judgement-hall.
douth|Virtue, excellence; nobility; power, wealth. Also in plural in same sense.
douth-might|(In plural) the members of one of the nine orders of the celestial hierarchy, usually equated with powers (power, n.¹ II.9b).
drast|(mostly plural) Dregs, lees; fæces, refuse, residue.
dream|Joy, pleasure, gladness; mirth, rejoicing, jubilation; an instance of this.
dretching|Torment, vexation, trouble.
drightfolk|A people or army.
drosen|Dregs.
drunken|Drunkenness, intoxication.
dwale|Error, delusion; deceit, fraud.
e|Law, esp. divine law.
earl-right|The right or privilege of an earl.
earth ivy|Any of several creeping plants, esp. ground ivy, Glechoma hederacea, and common ivy, Hedera helix; cf. ground-ivy, n.
earthriche|The realm of earth, as opposed to heaven. Also: an earthly kingdom. Cf. heavenriche, n.
earthware|The inhabitants of earth. Cf. heavenware, n.
eastdeal|The eastern part or district (of a place); the east.
eaubruche|An adulterer.
echeness|Eternity; only in phrase on or in echeness.
eddre|A blood vessel, vein.
edmede|Gentleness, humility.
edocke|Some broad-leaved water-plant; ? the Clote or Yellow Water-lily (Nuphar lutea).
ees|Food, meat; carrion.
eke|An addition, increase; a piece added on; a supplement. In Old English, A reinforcement (of troops).
eldfather|A grandfather; a forefather in general.
ele|= oil, n.¹
elne|Strength, courage (also, in Old English, zeal); in Theology strength vouchsafed, comfort, grace.
elvat|An oil-vessel, an ampulla: see ampulla, n. 2.
eme|An uncle; also dialect a friend, gossip.
ende|A duck.
Englethede|The English people; (hence) England.
eowde|A flock of sheep.
erding|Abode, dwelling. erding-stow n. dwelling-place.
ere-deed|(See deed, n.), in Middle English erdede, a former deed.
erendrake|A messenger, ambassador.
erming|A poor or miserable creature; a wretch. Also attributive.
ernding|Intercession.
este|Good pleasure, favour, grace (esp. of God). In Old English also: Bounty, munificence.
estmete|= este, n. 3.
ethem|Breath; vapour. Also: a blast of air, fire, or smoke.
evening|A person or (occasionally) thing of equal standing, importance, etc.; an equal, a fellow. Cf. evenling, n.
evenlight|The light of evening; twilight.
evenling|A person of equal standing, importance, etc.; an equal, a fellow; = evening, n.²
even-old|Of the same age; coeval.
everfern|a. The common polypody, Polypodium vulgare (chiefly historical in later use); b. the royal fern, Osmunda regalis.
evest|Envy, malice.
eyelessness|Lack of fear of, or reverence or respect for, authority.
eythe|A harrow.
fanding|The action of trying. A testing or putting to the proof; a trial.
farm|Food, provisions; (hence) a banquet, feast. In early use also spec.: provisions given as a levy, food rent.
fasten|Voluntary abstinence from all or some kinds of food or drink, especially as an act of religious devotion or discipline; fasting. Also: an act or…
fat|In early use gen. A vessel.
fax-net|A hairnet.
fec|A definite interval in space or time; a limited distance, fixed period.
fee|Livestock, cattle, whether large or small. wild fee n. deer.
ferd|A military expedition. Old English only.
ferding|A military expedition; an army.
ferling|As a coin: The fourth part of a penny.
fernyear|A past year.
fieldwort|A gentian, probably the European autumn gentian, Gentianella amarella, common on grassland in Britain (cf. felwort, n. a).
fiend-scathe|A monster.
fight-wite|A fine for taking part in a disturbance.
fille|? = chervil, n.
fire-leam|A fiery gleam or glare; fiery light.
fisheth|The action or practice of catching fish. Cf. fishing, n.¹ 1.
flane|An arrow.
fleme|Flight; exile.
flesh house|A place where meat is killed or sold; a butcher's shop; shambles.
flet|The floor or ground under one's feet.
flote|A fleet or flotilla.
fold|a. The surface of the earth; the ground. b. Dry land; the earth, as the dwelling-place of man. in, on, upon fold: on the earth; often as a mere…
folkland|A term of Old English law, designating land held by a certain kind of tenure; opposed to bookland, n.
folkright|‘Common law, public right, the understood compact by which every freeman enjoys his rights as a freeman’ (Bosworth–Toller).
foot spore|The track or trail left by the feet of an animal.
fore|A going, journey, expedition. Also, an expeditionary force.
forespeech|An introductory speech, a preface.
foreward|An agreement, compact, covenant, promise.
forgetelness|Forgetfulness.
forridel|One who rides in advance. Also figurative a precursor, a preliminary.
forthfather|plural = forefathers (forefather, n.).
forthgang|A going forth or out; progress, advance.
founding|a. Setting forth, faring, etc.; b. trial, temptation.
frank-marriage|A tenure in virtue of which a man and his wife held lands granted to them by the father or other near relative of the wife, the estate being…
freke|Properly, one eager for fight; a warrior, champion; but usually a mere poetic synonym for ‘man’ (cf. berne, n., tulk, n., wye, n.¹).
friendrede|Friendship, fellowship. Also: a group of comrades, a fellowship.
frith-stool|Old English only. A place of safety; a refuge.
frumberdling|A youth.
frumschaft|First formation, creation.
fulghter|A person who baptizes (used as an epithet of John the Baptist).
full|The common houseleek, Sempervivum tectorum, or other small sempervivum or sedum.
fullfremedness|Perfection.
fultum|Help, assistance, support. Also: a person who or thing which helps.
gainchare|A return, way of returning, means of escape.
galder|A charm, or incantation.
ganing|Gaping or yawning.
garnwin|= garnwindle, n.
ging|A company of armed men, a troop, army, host.
gladding|The action of glad, v.; delight, joy, rejoicing.
god-bote|A fine payable to the Church in reparation for an injury or offence; cf. boot, n.¹ III.9.
God's sand|God's dispensation; what is ordained or sent by God, spec. worldly possessions (cf. God's good, n.).
gold maslin|Brass; cf. maslin, n.¹ 1.
goleship|= goleness, n.
gomer|A Hebrew measure = omer, n.; sometimes confused with homer, n.¹
gound|Foul matter, esp. that secreted in the eye.
grave|A graven image.
greatwort|Probably: meadow saffron, Colchicum autumnale.
Greekland|The land of the Greeks; Greece.
gristbiting|Gnashing of the teeth.
ground-sope|(= Dutch grond-sop), dregs, sediment (quots. OE, 1500 are obscure, perhaps mistranslations; Palsgrave's rendering may be an error).
grure|Fright, terror; something frightful, fearful agony.
had|Person (in various senses).
haded|a. adj. Ordained; b. n. one in holy orders.
haire|Cloth made of hair, haircloth; esp. a hair shirt worn next the skin by ascetics and penitents; extended later to any kind of coarse or harsh fabric…
hale|A corner of a room or building. Also: a recess, a nook; a hidden place.
halfendeal|Either of two equal parts of something; a half share or portion; a moiety. Frequently in legal contexts. Cf. half, n.
halirift|A veil worn by a holy or devout woman, esp. a nun.
halsing|Exorcizing, exorcism.
hame|A covering, esp. a natural covering, integument; skin, membrane, slough (of a serpent).
hammerwort|The Wall-pellitory.
harding|The action or process of becoming hard or solid; hardening, solidification.
hart-bramble|Buckthorn.
hatter|In plural or used collectively: clothes; clothing. English regional (Yorkshire) in later use.
head-line|A covering for the head made of linen. Cf. head linen, n.
head pan|The skull; = brainpan, n.
heal|Sound bodily condition; freedom from sickness; health.
healness|Welfare; salvation.
heavenriche|The kingdom of heaven. Cf. kingdom, n. II.4a.
Hebreish|Of, relating to, or belonging to Hebrews or the Hebrew language; Hebrew.
held|Grace, favour, kindness.
hele|A covering. Only in earth-hele: a covering over the ground.
hell ware|The inhabitants of hell; cf. heavenware, n.
hemming|The skin or hide of a deer's shank; a rough shoe or brogue made from this.
hensith|Departure from life, death; cf. sithe, n.¹ I.1.
herdman|A man who herds cattle, sheep, or other animals; a herdsman.
here|An armed host, an army. Also, more generally: A host; a multitude, a great company.
here-gang|An invasion by an army.
hereword|Word of praise; praise, renown, glory.
heryer|(Old English hęrgere), worshipper.
hete|A feeling of intense dislike or aversion towards a person or thing; hatred, loathing, animosity. Also as a count noun: an act prompted by hatred or…
hewen|Family, household.
hidegild|A fine paid in lieu of a flogging.
hield|A slope, incline, declivity.
hight|Hope, happy expectation, trust; delight, joy, pleasure.
hillwort|An old name of Pennyroyal (or ? of Wild Thyme).
hirne-stone|Corner-stone.
ho|The heel.
hock|A general name for various malvaceous plants, esp. the Common and Marsh Mallow and the Hollyhock. Obsolete (except in hollyhock, n.).
hoker-word|Mocking word; gibe.
hold|A carcass, dead body, corpse.
holleke|A species of Allium or onion: according to 16th cent. writers, the Chibol, Cibol, or Welsh onion, Allium fistulosum; earlier writers appear to apply…
home-hen|The female of the domestic chicken; = house hen, n.
hoppestere|A female dancer, a danceress. In the quot. from Chaucer apparently used attributively = ‘dancing’.
horse-bier|A horse-litter.
horse-whale|The walrus.
hough-sinew|The sinew of the hough or hock; applied, in humans, to the popliteal tendons, or hamstrings, at the back of the knee; in a quadruped, to the tendon…
house-lew|Shelter of a house.
houve|A covering for the head; a turban, a coif; a cap, a skull-cap; the quilted skull-cap worn under a helmet; in Scottish (how, hoo) a night-cap…
how|Care, anxiety, trouble, sorrow.
hund|= hundred, n. & adj. (Old English and early Middle English).
hundred-man|(Old English hundredes-man) the constable or officer of the hundred; = hundreder, n. 1.
hunteth|Hunting; the chase.
hymner|A book of hymns; a hymnal or hymnary.
i-bere|Behaviour, conduct; demeanour. Also: a gesture, an action. Cf. abear, n., bere, n.² 1.
i-brotheren|With plural agreement. Brothers (in various senses); brethren.
i-feond|Enemies.
i-freond|With plural agreement. Friends.
il|A hedgehog. (In Old English also a porcupine.)
i-lete|Manner, bearing, behaviour; expression.
i-met|Fit or proper measure; moderation; = met, n.¹ II.5a.
i-mind-day|= mind-day, n.
inborgh|(In Old English) Security, bail.
ingang|The act or fact of going in; entrance, entry.
inning|The action of inn, v.; staying or lodging somewhere for a short period of time. Also: a lodging, a dwelling place.
i-riht|plural. Rights, dues; rightful possession.
irre|Anger, wrath.
i-setnesse|Institution, ordinance, statute, law.
i-sistren|With plural agreement. Sisters (in various senses).
i-swinch|Toil, labour. Also: trouble, affliction.
i-thank|Thinking, thought.
i-wald|Power, might; control, command; (also) possession. Cf. early use of wield, n. in various senses.
i-will|Will, wish; pleasure.
i-wissung|Direction, instruction.
i-witness|Knowledge; witness, testimony; the act of witnessing.
i-wune|Custom, habit, wont.
Judeish|= Jewish, adj. 1.
kechel|A little cake. a God's kechel: a cake given as alms in the name, or for the sake, of God (cf. god, n. & int.compounds C.2c).
key loke|A lockable compartment or other enclosed space.
kindly limb|The genitals; cf. i-cundely limb n. at i-cundely, adj.
kine-bairn|A child of royal birth; a king's son.
kine-lord|A royal lord; a king.
kine-stool|A throne.
kitchen theining|Service in the kitchen; cf. theining, n.
lahter|A vice, sin, crime.
lait|Lightning; occasionally flash of fire.
larew|A teacher.
last|A fault, vice, sin; blame; (also) a physical blemish, a defect.
lattew|A leader.
law-breach|A breach or breaking of the law.
lean|Reward, recompense.
lease|Untrue, false, lying.
lede bishop|A bishop of a district (hence lede-bishopric).
lede-rune|? an incantation; also, ? a mysterious doctrine.
leer|The cheek.
leet|A point of junction or meeting (of ways); (hence) a place where two or more roads or ways meet, a crossroads. In later use only with the number of…
leightonward|A gardener.
lenend|A lender, usurer.
leoth|A song.
leth|Hatred, ill-will.
leve|Belief, faith; occasionally trust.
lib|A charm.
lich-rest|A place for a corpse to rest, a burial-place.
lifesman|A living person.
lightfat|A lamp.
lind|The lime or linden (Tilia europæa). In Middle English poetry often used for a tree of any kind, esp. in under (the) lind.
